date,return,total_value,cash,positions_value
2024-06-03,0.0,100000.0,100000.0,0.0
2024-06-04,0.174794375,117479.4375,99982.5,17496.9375
2024-06-05,0.0,117479.4375,99982.5,17496.9375
2024-06-06,0.0,117479.4375,99982.5,17496.9375
2024-06-07,0.0,117479.4375,99982.5,17496.9375
2024-06-10,0.0,117479.4375,99982.5,17496.9375
2024-06-11,0.16997872340425535,137448.4423125,99962.5035,37485.9388125
2024-06-12,0.0,137448.4423125,99962.5035,37485.9388125
2024-06-13,0.0,137448.4423125,99962.5035,37485.9388125
2024-06-14,0.0,137448.4423125,99962.5035,37485.9388125
2024-06-17,0.0,137448.4423125,99962.5035,37485.9388125
2024-06-18,0.0,137448.4423125,99962.5035,37485.9388125
2024-06-19,-0.2727272727272727,99962.5035,99962.5035,0.0
2024-06-20,-0.00037500000000004175,99925.0175611875,99925.0175611875,0.0
2024-06-21,0.0,99925.0175611875,99925.0175611875,0.0
2024-06-24,0.0,99925.0175611875,99925.0175611875,0.0
2024-06-25,0.0,99925.0175611875,99925.0175611875,0.0
2024-06-26,0.0,99925.0175611875,99925.0175611875,0.0
2024-06-27,0.0,99925.0175611875,99925.0175611875,0.0
2024-06-28,0.0,99925.0175611875,99925.0175611875,0.0
2024-07-01,0.0,99925.0175611875,99925.0175611875,0.0
2024-07-02,0.0,99925.0175611875,99925.0175611875,0.0
2024-07-03,0.0,99925.0175611875,99925.0175611875,0.0
2024-07-04,0.0,99925.0175611875,99925.0175611875,0.0
2024-07-05,0.0,99925.0175611875,99925.0175611875,0.0
2024-07-08,0.0,99925.0175611875,99925.0175611875,0.0
2024-07-09,0.0,99925.0175611875,99925.0175611875,0.0
2024-07-10,0.0,99925.0175611875,99925.0175611875,0.0
2024-07-11,0.0,99925.0175611875,99925.0175611875,0.0
2024-07-12,0.0,99925.0175611875,99925.0175611875,0.0
2024-07-15,0.0,99925.0175611875,99925.0175611875,0.0
2024-07-16,0.0,99925.0175611875,99925.0175611875,0.0
2024-07-17,0.0,99925.0175611875,99925.0175611875,0.0
2024-07-18,0.0,99925.0175611875,99925.0175611875,0.0
2024-07-19,0.0,99925.0175611875,99925.0175611875,0.0
2024-07-22,0.0,99925.0175611875,99925.0175611875,0.0
2024-07-23,0.0,99925.0175611875,99925.0175611875,0.0
2024-07-24,0.0,99925.0175611875,99925.0175611875,0.0
2024-07-25,0.0,99925.0175611875,99925.0175611875,0.0
2024-07-26,0.0,99925.0175611875,99925.0175611875,0.0
2024-07-29,0.0,99925.0175611875,99925.0175611875,0.0
2024-07-30,0.0,99925.0175611875,99925.0175611875,0.0
2024-07-31,0.0,99925.0175611875,99925.0175611875,0.0
2024-08-01,0.0,99925.0175611875,99925.0175611875,0.0
